category,price,rating,stock,Discount,status
B,2801,,In Stock,10,Active
A,8976,2.675012434,In Stock,5,Active
,6855,,In Stock,,Active
,6487,3.275214523,Out of Stock,9,Active
C,513,1.551308786,,18,Active
,7743,,In Stock,45,Inactive
A,4844,2.809743585,Out of Stock,,Active
C,8867,2.789754486,,25,Active
,8794,,In Stock,34,Active
,7446,2.516384461,Out of Stock,5,Inactive
,169,2.598798249,,49,Active
,6130,,,12,Inactive
,1151,1.870206341,,9,Active
,1893,2.415329928,Out of Stock,33,Inactive
C,7446,,In Stock,,Active
,2641,4.057688277,Out of Stock,5,Inactive
C,8832,2.184752213,,45,Active
D,7785,1.962680409,,2,Inactive
,9041,,Out of Stock,42,Inactive
C,358,1.534718218,,5,Inactive
,4122,1.17127608,Out of Stock,15,Inactive
D,9914,4.224213898,,33,Inactive
D,7398,4.539260482,In Stock,45,Active
A,5533,,In Stock,31,Active
C,9942,3.098893349,In Stock,41,Active
,5889,1.011499178,,35,Active
C,2065,2.773372451,,38,Inactive
,3573,1.681781055,,8,Inactive
,7249,,Out of Stock,40,Active
,2863,,Out of Stock,20,Active
,3149,2.436181742,Out of Stock,11,Active
D,2597,2.693039161,In Stock,22,Inactive
C,,2.520140576,Out of Stock,48,Inactive
,8502,,,16,Inactive
B,4377,2.58527386,Out of Stock,23,Active
,2188,2.075837576,In Stock,12,Inactive
,1125,,,17,Active
,421,2.204065103,,6,Inactive
,8287,4.359452058,In Stock,35,Active
C,1039,2.944642999,Out of Stock,44,Inactive
,4290,2.470568033,Out of Stock,0,Active
D,4297,3.303322214,In Stock,5,Active
B,2557,,In Stock,7,Active
,8483,1.353439152,,44,Inactive
A,,3.979337342,In Stock,21,Active
,3742,,Out of Stock,3,Active
,8017,1.612055887,,3,Active
D,4910,4.989577355,In Stock,45,Active
,4429,,In Stock,8,Active
,4192,3.108584267,,1,Inactive
C,5687,,Out of Stock,7,Active
A,9116,2.16027754,In Stock,45,Active
A,573,,In Stock,23,Inactive
A,6107,1.163184958,Out of Stock,22,Inactive
,9464,,,24,Inactive
,5125,,Out of Stock,49,Active
,480,2.895213765,In Stock,21,Active
,3122,,In Stock,46,Inactive
D,8873,3.248184262,In Stock,41,Inactive
C,1189,4.957681199,Out of Stock,34,Active
,9697,3.334450241,,11,Active
A,3592,,,31,Inactive
,1891,,,14,Active
D,9584,2.338223783,,27,Inactive
,3908,2.390631587,Out of Stock,27,Active
,3584,,,44,Inactive
D,3996,,Out of Stock,25,Active
,6618,1.840089433,In Stock,48,Inactive
B,5054,1.893145253,In Stock,5,Active
D,8760,,In Stock,42,Inactive
B,6166,,,47,Inactive
,6557,,,9,Inactive
D,9794,2.130339376,Out of Stock,14,Active
C,7693,,In Stock,35,Active
A,5896,,Out of Stock,41,Inactive
,462,1.331008698,In Stock,29,Inactive
,4673,4.846201403,Out of Stock,0,Inactive
B,5031,1.864217036,In Stock,25,Inactive
,8671,,In Stock,0,Active
,3262,,In Stock,8,Inactive
A,2970,2.028725181,Out of Stock,2,Active
,6708,3.177204226,In Stock,24,Active
,9054,3.166292267,,26,Inactive
,7272,2.366807906,,29,Active
C,7873,3.991883776,Out of Stock,42,Active
,5940,4.850522226,Out of Stock,7,Active
,2209,2.247698083,,3,Inactive
,3151,1.991498846,In Stock,8,Active
A,6911,2.338003976,Out of Stock,11,Inactive
,438,,In Stock,21,Active
,,,In Stock,19,Active
,2761,2.259845774,,14,Active
,6361,3.957523113,,5,Active
C,1445,,,38,Inactive
,4659,3.793331203,In Stock,15,Active
,9158,,In Stock,25,Inactive
C,9306,4.131448624,In Stock,18,Inactive
,2807,3.217156054,Out of Stock,39,Active
A,1297,,In Stock,36,Active
,4847,,In Stock,41,Inactive
D,8255,4.187392001,In Stock,36,Active
D,7894,1.339054719,In Stock,,Inactive
,8209,1.927910222,Out of Stock,19,Inactive
,7265,1.420038295,In Stock,37,Inactive
B,4930,3.321333154,Out of Stock,9,Inactive
,,2.86768717,Out of Stock,16,Inactive
D,4999,,Out of Stock,40,Inactive
,,4.588041206,Out of Stock,,Inactive
,2929,2.744012447,Out of Stock,46,Active
D,4529,,,4,Inactive
,3509,,In Stock,10,Active
,9098,2.03745842,Out of Stock,6,Active
,1567,,,37,Active
,926,,Out of Stock,21,Active
,7538,2.529976294,,29,Active
D,2797,2.954738492,In Stock,26,Active
,3772,,In Stock,44,Inactive
,6302,1.883031279,,6,Active
,8094,1.378041747,Out of Stock,30,Inactive
C,9873,,In Stock,19,Active
C,9016,3.73164719,,26,Inactive
B,3621,3.269276521,In Stock,16,Active
C,8629,,Out of Stock,45,Active
A,7487,,Out of Stock,43,Inactive
,877,3.959481763,,22,Inactive
,7058,2.520362723,Out of Stock,47,Inactive
A,5055,2.782292682,,7,Active
A,1251,,,40,Inactive
D,1294,,In Stock,,Inactive
,3984,4.06813389,Out of Stock,,Active
,2865,3.555979815,,43,Active
,7325,4.202239555,In Stock,22,Inactive
C,4222,,In Stock,23,Active
,2470,1.037354008,In Stock,41,Active
,1647,4.284220098,,27,Active
C,4351,4.134765174,Out of Stock,5,Inactive
,9352,,Out of Stock,31,Inactive
D,9356,3.333491496,In Stock,17,Active
,716,4.568742635,In Stock,17,Inactive
B,5510,3.782282474,Out of Stock,17,Inactive
C,3203,,,0,Active
,3455,4.403373498,,38,Inactive
,3416,3.727636517,Out of Stock,10,Inactive
,1558,,In Stock,28,Inactive
D,177,,In Stock,31,Active
B,8493,3.798117786,Out of Stock,3,Inactive
,6706,3.550703657,,11,Inactive
,823,3.308216385,In Stock,,Inactive
D,9753,1.959063647,Out of Stock,8,Inactive
,7635,,In Stock,12,Inactive
A,3424,4.690404921,Out of Stock,,Inactive
,8221,4.772532426,,36,Active
,5135,,,35,Inactive
A,9272,2.459474979,,37,Active
,8406,1.291421111,Out of Stock,11,Active
C,6357,2.131057288,In Stock,5,Active
B,3626,,Out of Stock,0,Inactive
A,9516,,In Stock,,Active
,1506,,,34,Inactive
C,7605,3.035017053,In Stock,8,Active
,6609,,,,Inactive
B,8569,4.300744484,In Stock,42,Active
,3804,2.127545537,In Stock,21,Inactive
C,1628,,In Stock,0,Inactive
,8319,2.065992999,In Stock,,Inactive
B,5557,2.91771379,Out of Stock,14,Active
B,8722,3.391188478,In Stock,26,Inactive
,2642,3.684924392,Out of Stock,49,Inactive
,913,1.33280838,In Stock,15,Inactive
,3103,2.839374537,In Stock,20,Inactive
C,8687,2.609026342,In Stock,19,Active
,5699,3.194113461,Out of Stock,,Inactive
C,9686,4.713512142,,27,Active
,1557,1.635867213,In Stock,23,Inactive
,5236,2.290243723,,10,Active
,8598,,,47,Inactive
D,7621,,Out of Stock,30,Active
,3130,3.076447468,,16,Active
,3086,,Out of Stock,2,Active
C,1051,2.984321748,In Stock,10,Active
,5887,2.157057952,In Stock,48,Inactive
,1320,2.358778012,,12,Active
,7446,1.530568331,Out of Stock,31,Active
,505,,Out of Stock,30,Active
,5334,,Out of Stock,14,Inactive
,3389,1.941900547,Out of Stock,2,Active
,5945,3.554980561,Out of Stock,23,Inactive
,1142,2.259947259,Out of Stock,16,Active
,4138,3.458852846,,,Inactive
,3526,2.182272453,Out of Stock,18,Inactive
,2604,,Out of Stock,,Active
,9502,4.058366709,In Stock,4,Inactive
,3542,2.27055598,Out of Stock,36,Active
,8987,4.58098193,Out of Stock,32,Inactive
,,3.994311876,,10,Inactive
A,9933,,,15,Active
,9887,1.721344109,,12,Active
,6994,3.82123986,Out of Stock,11,Inactive
,7477,3.630518223,In Stock,25,Active
,9198,4.495473934,Out of Stock,40,Inactive
A,3125,,,18,Active
,4070,,,46,Active
,2190,,,10,Active
,7550,,,,Inactive
,2023,4.904290374,,31,Active
,1415,2.381752333,Out of Stock,42,Inactive
B,8444,2.773898597,,41,Inactive
,6169,2.703924171,Out of Stock,38,Active
,3540,,Out of Stock,15,Inactive
,8313,2.71869708,In Stock,16,Inactive
,2695,3.778066899,Out of Stock,5,Active
C,9809,2.143746644,,8,Inactive
,7046,1.714077512,In Stock,5,Active
,6235,2.102911271,Out of Stock,,Inactive
,7534,4.414725463,,,Inactive
,,1.003102893,Out of Stock,21,Inactive
,4863,,Out of Stock,,Inactive
A,5271,,In Stock,45,Inactive
,947,,,5,Inactive
,5946,3.660447894,Out of Stock,,Inactive
,9257,,,,Active
,,4.554561616,In Stock,35,Inactive
,7479,,Out of Stock,15,Active
,6205,3.644353228,,29,Active
A,1682,,In Stock,45,Active
,918,1.716006583,Out of Stock,34,Inactive
,2863,2.308269416,In Stock,44,Inactive
,9692,,In Stock,26,Inactive
,4917,,Out of Stock,21,Active
,8537,2.95583957,,10,Active
D,5144,3.992799957,Out of Stock,27,Inactive
,2806,1.074641885,Out of Stock,30,Active
,9585,4.723567029,In Stock,24,Active
,564,,,49,Inactive
,1036,1.391264797,In Stock,39,Active
,7268,4.137400069,In Stock,35,Inactive
,2122,1.070220143,,,Inactive
C,2261,1.154137275,Out of Stock,11,Inactive
B,722,,,19,Active
,1022,,,1,Inactive
,5237,4.854664208,,49,Active
,3549,3.218806011,In Stock,1,Inactive
,9115,1.005714679,,,Inactive
C,6676,3.54482377,,,Inactive
,6530,,In Stock,26,Active
,,2.028452658,In Stock,37,Inactive
,6438,1.607100153,,39,Inactive
,3471,2.167357133,Out of Stock,5,Inactive
A,3231,2.648071748,Out of Stock,8,Inactive
,5674,,,,Active
C,1260,3.628810071,Out of Stock,43,Active
,249,3.090414208,In Stock,26,Active
,8170,4.028107377,Out of Stock,35,Active
,3432,1.39276408,,45,Active
A,2720,3.068155231,In Stock,23,Inactive
,8925,1.007012317,Out of Stock,20,Inactive
C,1250,2.805398279,Out of Stock,20,Inactive
,1903,,Out of Stock,46,Active
D,7139,,,43,Active
C,8596,4.573302123,Out of Stock,35,Inactive
C,6564,2.35032754,In Stock,49,Inactive
,2905,,Out of Stock,27,Active
B,6381,4.171780814,Out of Stock,31,Inactive
,4347,,Out of Stock,41,Inactive
,291,3.961543721,,39,Active
,562,1.644107625,,3,Active
,614,,Out of Stock,13,Inactive
B,,,,,Active
,9617,,Out of Stock,,Active
D,5341,,,,Inactive
,2997,2.941055367,Out of Stock,,Inactive
,1665,4.860212846,,34,Inactive
,2577,,Out of Stock,49,Active
A,5778,,In Stock,20,Inactive
,9697,3.66048393,In Stock,40,Active
,,2.768843803,Out of Stock,45,Inactive
,1481,1.199776457,,26,Active
,4870,,Out of Stock,2,Inactive
,7087,4.285811024,In Stock,35,Inactive
C,3650,,In Stock,37,Inactive
,3024,,In Stock,16,Inactive
,328,,Out of Stock,41,Active
,1538,,,41,Inactive
A,5721,3.578709893,,40,Active
,9329,,In Stock,48,Active
,3568,4.10947182,Out of Stock,11,Inactive
,7252,,Out of Stock,36,Inactive
C,9119,2.588949047,In Stock,10,Inactive
D,8081,3.64653401,In Stock,12,Inactive
,,3.701078773,In Stock,30,Inactive
,381,,Out of Stock,21,Active
,1249,2.559763118,In Stock,49,Inactive
B,6446,3.541790165,Out of Stock,,Inactive
C,8709,,,19,Active
,5539,1.809605571,Out of Stock,17,Active
C,7288,2.044934517,,15,Inactive
D,6778,,In Stock,41,Inactive
,7675,,Out of Stock,1,Active
,9236,,Out of Stock,15,Inactive
,2705,4.527438671,In Stock,7,Active
D,4246,,Out of Stock,34,Active
,2228,3.189855923,In Stock,23,Active
,7314,4.620648665,,30,Active
D,8737,4.095370532,,41,Inactive
,3536,,In Stock,13,Active
,5272,,,25,Inactive
,5113,,Out of Stock,17,Active
,2735,2.920832286,,26,Inactive
,2432,,Out of Stock,16,Active
,,1.633709633,In Stock,46,Inactive
,5736,,,14,Active
,3241,4.859328886,,7,Inactive
D,434,,Out of Stock,6,Active
B,9715,4.55629631,,1,Active
,2666,2.98169699,In Stock,28,Active
C,3215,2.376312444,In Stock,,Active
C,736,,In Stock,12,Inactive
,4650,1.170523665,Out of Stock,11,Active
C,4392,2.729070979,,13,Inactive
,535,,,9,Active
,703,1.32945137,Out of Stock,4,Active
,620,,Out of Stock,33,Inactive
D,4290,,,13,Inactive
A,8171,2.059080055,Out of Stock,14,Active
,1305,,In Stock,38,Active
,1078,4.705406944,,23,Inactive
,6285,2.60792692,In Stock,27,Active
,6551,4.246589692,In Stock,5,Active
C,9566,,Out of Stock,1,Inactive
C,,,Out of Stock,,Active
,9442,2.690726984,In Stock,39,Active
A,1521,,In Stock,29,Active
,1704,2.853594757,In Stock,6,Inactive
,158,,Out of Stock,12,Inactive
,231,1.444400305,In Stock,38,Active
D,8041,4.250726268,In Stock,5,Inactive
A,420,2.663846018,,1,Inactive
C,7645,,,25,Inactive
D,5297,3.933676945,In Stock,5,Inactive
,4636,,,8,Active
C,7341,,,21,Inactive
B,1971,,,1,Active
,4945,2.236450726,Out of Stock,7,Inactive
B,3412,,Out of Stock,24,Active
B,2940,2.809246904,,47,Inactive
,,4.53529067,,31,Inactive
,3280,,Out of Stock,29,Inactive
,409,,Out of Stock,16,Active
B,8690,,Out of Stock,1,Inactive
,9287,4.696252557,,2,Active
,3590,4.099343054,Out of Stock,,Active
D,7644,,Out of Stock,,Inactive
,2428,,Out of Stock,47,Inactive
A,5310,3.649176394,Out of Stock,1,Active
,2699,4.340577472,Out of Stock,40,Inactive
,3341,4.841266709,,44,Active
,7173,1.938883588,,13,Inactive
B,7293,1.958100921,In Stock,29,Active
,4004,,Out of Stock,31,Inactive
,6722,2.419346271,In Stock,8,Active
,1328,2.909360251,,27,Active
B,8583,,In Stock,31,Active
B,4461,,In Stock,39,Inactive
D,4888,,In Stock,2,Inactive
,9374,3.002856095,,28,Inactive
,8339,3.918305268,In Stock,41,Inactive
,7640,,,0,Inactive
,1700,1.383613505,In Stock,13,Inactive
,680,,In Stock,18,Inactive
,2541,3.632204748,,37,Inactive
,6322,,Out of Stock,,Inactive
B,6924,4.068935005,In Stock,,Active
B,1103,,,47,Active
C,9686,1.799974012,Out of Stock,19,Inactive
,8669,4.641905702,Out of Stock,12,Inactive
,4097,,Out of Stock,34,Active
,8281,,,12,Inactive
,1832,,In Stock,28,Inactive
B,3741,,,47,Active
,7054,,Out of Stock,49,Inactive
,6355,2.764661281,Out of Stock,0,Inactive
A,1511,2.967568342,Out of Stock,7,Inactive
,1545,2.14157275,In Stock,29,Active
D,828,2.153464497,Out of Stock,8,Inactive
D,6483,,,33,Inactive
,3704,2.93655431,In Stock,1,Inactive
B,3650,1.455301449,,34,Inactive
,6354,2.872548994,In Stock,46,Inactive
,3093,1.103927782,,42,Inactive
D,8585,,,43,Active
C,9832,4.96709065,Out of Stock,2,Inactive
A,3726,,In Stock,26,Active
,7030,,Out of Stock,19,Inactive
,5769,,Out of Stock,18,Inactive
,2883,2.755392183,Out of Stock,35,Active
,3736,1.027401458,,26,Inactive
,7702,1.159747579,Out of Stock,21,Active
,4437,,In Stock,8,Active
C,6987,,,,Inactive
,7648,,In Stock,45,Active
,1670,,,13,Inactive
B,5335,,Out of Stock,12,Active
A,6117,,In Stock,26,Active
B,1695,3.137216936,In Stock,7,Active
B,4769,3.199256477,,41,Active
,8325,3.749995245,,6,Active
,1804,,In Stock,7,Inactive
,9951,,In Stock,26,Inactive
,4828,,In Stock,22,Active
,1698,3.089123168,In Stock,11,Active
C,2571,1.242519642,In Stock,22,Active
,3691,4.799496226,,37,Active
,,,Out of Stock,23,Active
D,6967,2.929478914,In Stock,39,Active
,9148,,,46,Inactive
A,3701,,In Stock,12,Active
,6867,,,3,Inactive
C,2610,2.791204242,,10,Active
,7606,3.654227386,In Stock,,Active
,3135,4.594448915,,28,Active
D,5597,3.116135384,In Stock,27,Active
,1839,4.274956661,Out of Stock,16,Inactive
D,4763,3.972744227,,42,Active
,4219,,In Stock,37,Active
,5608,4.157697337,Out of Stock,6,Inactive
B,5195,3.689327293,,3,Inactive
C,2540,,In Stock,40,Inactive
,6716,1.790399031,In Stock,7,Active
B,3722,,Out of Stock,37,Inactive
,8682,1.190636338,,47,Active
C,2647,,In Stock,,Active
A,4104,,Out of Stock,39,Inactive
C,6952,4.511057655,,4,Inactive
,9928,,In Stock,49,Active
,5712,2.747244805,Out of Stock,45,Inactive
,251,1.033156305,Out of Stock,44,Active
,3611,1.91573073,,36,Inactive
,3295,1.537412675,,11,Inactive
,889,,Out of Stock,45,Active
C,1972,2.247259789,In Stock,10,Active
,5429,4.958336197,In Stock,2,Active
,4415,1.446394207,Out of Stock,45,Inactive
,6889,,,13,Active
,,,Out of Stock,16,Active
D,2507,,Out of Stock,45,Active
,8945,4.670162361,Out of Stock,11,Active
,6533,1.392323731,In Stock,32,Inactive
,4318,2.130970062,Out of Stock,,Active
,2173,,Out of Stock,24,Inactive
,2996,3.397375844,,49,Inactive
D,521,1.109541284,Out of Stock,30,Active
C,4158,3.256011078,,7,Inactive
,7314,,,41,Active
,3430,,Out of Stock,27,Active
,,2.28483592,In Stock,28,Inactive
,5556,,In Stock,1,Inactive
C,7425,2.326320641,,22,Active
,6689,1.015558285,In Stock,20,Inactive
,5132,,Out of Stock,43,Active
,5475,,Out of Stock,13,Inactive
,,,Out of Stock,6,Active
D,8273,4.152618603,,7,Inactive
,5565,,,47,Inactive
B,4071,4.201654639,,32,Inactive
,2269,,,31,Inactive
,7671,2.062739332,,,Active
B,3472,,Out of Stock,41,Active
,3430,,In Stock,27,Active
,3668,,,20,Inactive
,,,In Stock,11,Active
,8460,,In Stock,18,Inactive
,296,,In Stock,11,Inactive
,3145,1.848307296,In Stock,15,Active
A,3545,,,18,Active
,3688,,In Stock,7,Active
A,7243,,Out of Stock,7,Inactive
A,5124,1.114378759,In Stock,,Active
,4924,4.904717381,Out of Stock,13,Active
,9157,,,49,Inactive
,1135,,In Stock,42,Active
,4267,,,19,Inactive
D,5969,,Out of Stock,17,Active
D,6161,,,39,Inactive
,7874,3.00732327,Out of Stock,34,Active
,317,,Out of Stock,27,Inactive
,1557,3.860771351,,15,Active
,571,3.030143278,,37,Active
,8282,4.851657965,Out of Stock,2,Inactive
,,,In Stock,48,Active
,5219,,,19,Inactive
,2760,3.705958435,Out of Stock,11,Active
,9501,,Out of Stock,15,Active
,7629,4.411939077,In Stock,3,Active
,6868,3.988162397,,20,Inactive
,8863,,In Stock,15,Active
C,3465,,Out of Stock,40,Active
A,6319,,Out of Stock,47,Active
,498,4.257966268,In Stock,35,Inactive
,3452,3.150789248,In Stock,33,Active
,1802,,Out of Stock,,Inactive
,3066,,Out of Stock,34,Inactive
,2148,,In Stock,23,Active
D,4943,,,14,Inactive
,1425,,,25,Inactive
D,1083,3.285651632,Out of Stock,28,Inactive
,398,2.128305109,Out of Stock,20,Active
C,4902,3.965778544,Out of Stock,31,Inactive
,1735,3.508710724,In Stock,20,Inactive
,7213,,In Stock,7,Active
,284,,,7,Active
D,2655,,In Stock,32,Inactive
,9029,1.155030549,,,Inactive
,1690,4.768949678,,11,Active
B,3837,,Out of Stock,18,Active
,6216,1.912289774,In Stock,35,Inactive
,6135,4.166996242,Out of Stock,40,Inactive
,5325,2.175326498,Out of Stock,11,Inactive
D,9569,,Out of Stock,32,Active
,6916,4.332073496,,42,Active
,6993,3.209793824,Out of Stock,40,Inactive
A,1628,,Out of Stock,11,Inactive
,7891,2.202289603,In Stock,47,Inactive
,,,Out of Stock,36,Active
B,9780,,,15,Active
A,8325,,Out of Stock,31,Inactive
,2570,,Out of Stock,16,Inactive
,868,,Out of Stock,21,Active
,9303,,Out of Stock,13,Active
,4147,4.341512883,In Stock,21,Active
C,889,,In Stock,26,Inactive
D,568,4.482026662,,3,Inactive
C,1466,2.534061332,In Stock,37,Active
,7111,,,,Inactive
D,,4.923387096,In Stock,42,Active
,8984,2.137580538,In Stock,22,Active
B,5655,,In Stock,41,Inactive
,,,,45,Active
B,8082,,,2,Active
,,3.368637381,In Stock,9,Inactive
B,2137,,In Stock,26,Inactive
B,7731,4.365546102,In Stock,32,Inactive
A,7539,3.544582893,In Stock,29,Active
C,7340,,In Stock,,Active
,4672,3.331715957,,49,Active
A,7180,,,2,Active
B,4734,2.732656991,Out of Stock,0,Active
C,500,,In Stock,43,Active
B,7257,,In Stock,17,Active
,3867,,,49,Active
,7889,4.731517334,,32,Active
,1028,,,34,Active
D,6690,1.589540663,,5,Active
,2359,4.368024013,In Stock,11,Active
,8785,,In Stock,22,Active
B,5164,,,27,Inactive
,6036,,,24,Active
D,7147,,Out of Stock,16,Inactive
C,5707,1.918981049,In Stock,30,Active
D,8421,1.651472186,,4,Active
,1924,,,20,Active
,2642,,Out of Stock,2,Inactive
,1889,3.081174853,Out of Stock,41,Inactive
,2328,1.457615723,,26,Inactive
B,7799,1.677858209,In Stock,21,Inactive
,3867,,In Stock,26,Inactive
,1940,1.198293259,Out of Stock,4,Inactive
B,8282,2.115695884,,25,Inactive
,8773,,,15,Inactive
C,6566,,,20,Inactive
,9346,3.683532001,In Stock,39,Active
C,5961,,Out of Stock,3,Inactive
D,8933,,,15,Inactive
,4374,,Out of Stock,21,Inactive
,,,In Stock,24,Inactive
,,1.156206866,In Stock,26,Inactive
,796,,,18,Inactive
,2302,,Out of Stock,10,Active
,6806,,,18,Inactive
D,934,4.18691059,,9,Inactive
,3818,4.698912084,Out of Stock,21,Active
,6281,1.49771807,,43,Inactive
A,8574,,Out of Stock,,Active
,684,2.334876059,Out of Stock,,Inactive
D,4304,4.590515556,In Stock,1,Inactive
A,9221,4.75540302,,17,Active
A,,,,0,Active
D,3740,3.61190053,In Stock,16,Inactive
D,440,1.003436632,Out of Stock,10,Inactive
,2352,4.463197134,,37,Active
,1519,,In Stock,15,Active
A,1089,,,32,Active
C,8473,,Out of Stock,19,Active
,1786,,Out of Stock,14,Active
,2993,,Out of Stock,43,Active
,6961,3.525718599,,16,Active
,1167,2.507280422,In Stock,47,Active
C,126,,Out of Stock,23,Active
B,7441,,In Stock,3,Inactive
D,2242,4.464652126,Out of Stock,24,Active
A,6244,,In Stock,41,Active
,4477,4.066780091,,37,Inactive
,474,,,3,Inactive
C,4661,2.102019402,In Stock,19,Active
,3793,2.055446766,In Stock,22,Active
C,5506,,Out of Stock,29,Active
,8437,,,45,Inactive
D,8699,4.169566883,,30,Inactive
,187,1.748495446,Out of Stock,36,Inactive
D,2952,,In Stock,34,Inactive
C,5754,,In Stock,30,Inactive
C,6194,1.351879822,Out of Stock,45,Inactive
,9201,,In Stock,14,Active
,7054,,In Stock,10,Inactive
,2514,4.578985,,2,Active
,4773,2.786519202,In Stock,27,Active
,6258,,Out of Stock,10,Inactive
,7028,3.115534583,Out of Stock,34,Active
,4531,,,42,Active
C,1094,,In Stock,48,Active
D,3922,,Out of Stock,,Inactive
,6942,,,,Active
C,9731,2.183426498,In Stock,12,Inactive
,4579,,In Stock,,Active
A,1034,,In Stock,,Active
,218,,,25,Active
,7847,4.657849084,Out of Stock,46,Inactive
D,4565,,Out of Stock,36,Active
,5824,4.146355762,Out of Stock,11,Inactive
A,4611,4.370481242,,10,Active
,2462,2.914034021,Out of Stock,14,Inactive
,6129,3.373470882,Out of Stock,31,Inactive
A,9599,,In Stock,36,Active
,6566,4.55435123,In Stock,24,Active
,5615,2.429237789,,13,Active
D,8075,,,48,Active
,8968,3.898796614,Out of Stock,7,Inactive
,9714,,Out of Stock,10,Active
,5941,,Out of Stock,38,Active
,3770,,Out of Stock,10,Active
,4221,3.465892988,,32,Inactive
,8086,,,19,Inactive
,5672,,,12,Inactive
,6479,2.819842197,In Stock,32,Active
,4793,2.705174088,In Stock,28,Inactive
B,9379,1.865337851,,23,Inactive
,8215,2.29026523,Out of Stock,13,Inactive
A,,,In Stock,24,Inactive
D,282,,,23,Active
,4844,3.782875509,Out of Stock,49,Inactive
B,5638,,In Stock,12,Inactive
C,8823,1.134856421,Out of Stock,,Active
C,4690,3.915965744,,22,Active
,3475,4.720175685,Out of Stock,6,Inactive
,4609,,In Stock,5,Inactive
C,9265,,In Stock,23,Active
C,5724,,Out of Stock,13,Active
,1503,2.869429138,Out of Stock,49,Active
,4119,,In Stock,15,Active
,,,Out of Stock,33,Active
B,3216,,,28,Inactive
B,4799,,In Stock,41,Inactive
,3557,,In Stock,44,Inactive
,3496,1.929425193,,41,Inactive
B,9572,,Out of Stock,27,Inactive
,3010,4.341961605,Out of Stock,41,Inactive
,1121,,Out of Stock,27,Active
D,5950,4.41530557,In Stock,18,Inactive
,945,4.128949867,In Stock,34,Active
,7711,1.411087368,Out of Stock,19,Inactive
,1762,2.844827682,In Stock,1,Active
,3321,3.599726302,,,Active
,1839,3.957731685,,39,Inactive
D,6313,1.552247484,In Stock,10,Inactive
,2849,1.803500059,Out of Stock,40,Active
,3193,2.390867432,In Stock,,Active
,6483,4.263628413,In Stock,34,Inactive
D,6433,,In Stock,5,Active
,9519,3.060620619,In Stock,12,Active
,3280,,,25,Inactive
,4105,,,17,Active
,5258,,Out of Stock,25,Active
,,3.742960558,Out of Stock,27,Inactive
,9326,,Out of Stock,3,Active
D,8619,,,34,Inactive
D,6259,,Out of Stock,25,Inactive
,134,2.305678601,Out of Stock,45,Active
A,7914,,,2,Inactive
D,9463,,,,Active
D,9295,,In Stock,,Active
A,2838,,Out of Stock,25,Inactive
,6490,,,10,Inactive
D,4356,,,38,Inactive
,1307,,,30,Inactive
C,7467,4.204570587,,48,Inactive
,5883,3.543257514,Out of Stock,6,Active
A,1411,2.283845007,In Stock,9,Inactive
B,9911,,In Stock,3,Inactive
A,2969,1.016958298,,23,Inactive
B,2896,,In Stock,8,Inactive
,604,,Out of Stock,22,Active
D,323,4.157982203,,0,Inactive
C,1057,,Out of Stock,17,Active
,3965,1.030506535,,22,Active
,1577,,In Stock,14,Inactive
D,8808,2.53659431,Out of Stock,13,Inactive
C,2040,3.152110023,In Stock,,Active
,4737,,,,Active
,5750,4.498982061,,13,Active
,1568,4.113798158,,48,Active
B,8260,1.288582686,Out of Stock,16,Active
,6212,,,10,Inactive
,2186,,Out of Stock,22,Inactive
,6944,,In Stock,38,Inactive
A,5343,3.034774508,,20,Inactive
C,8683,,,39,Active
,4509,2.948336452,In Stock,37,Active
,9631,1.111341497,In Stock,23,Inactive
B,5904,4.421146603,Out of Stock,31,Active
C,6639,4.534516148,,33,Inactive
,997,4.437430898,In Stock,37,Active
,387,3.634321673,,17,Active
,7000,4.690735016,In Stock,8,Active
,7579,,Out of Stock,20,Inactive
C,750,,Out of Stock,33,Active
,8024,2.510680057,,12,Active
,3187,4.317107463,In Stock,20,Inactive
A,3770,,,38,Inactive
,5774,4.423889889,In Stock,7,Inactive
C,6617,3.613701308,In Stock,13,Inactive
,1249,,,10,Inactive
A,3986,,Out of Stock,26,Active
,2066,,Out of Stock,42,Inactive
B,7274,1.905004933,In Stock,7,Active
,4101,,,12,Active
,9418,3.936755414,In Stock,9,Inactive
,7715,,In Stock,41,Active
,665,,,22,Inactive
C,,4.726100541,Out of Stock,42,Active
A,8604,3.659524202,Out of Stock,48,Active
B,9122,3.588629928,In Stock,45,Active
,7335,4.972969858,,28,Active
A,6286,4.315610568,,21,Inactive
C,4815,,Out of Stock,,Active
B,4242,1.240912923,Out of Stock,23,Active
,9513,,,37,Inactive
,1558,2.126048969,,34,Active
,7381,,Out of Stock,31,Inactive
,972,4.581309176,,,Active
D,5051,1.441588657,Out of Stock,,Active
B,3003,2.716204723,Out of Stock,7,Active
,778,2.182400374,In Stock,45,Inactive
B,9470,,Out of Stock,1,Inactive
A,3534,,In Stock,,Active
,1535,4.637649326,Out of Stock,7,Inactive
,968,,In Stock,,Active
D,3284,,In Stock,,Inactive
B,5693,,In Stock,14,Inactive
D,7759,3.067195483,Out of Stock,39,Inactive
A,2562,1.1535284,In Stock,35,Active
D,644,,Out of Stock,47,Inactive
,5212,2.113406457,Out of Stock,42,Inactive
B,7416,3.170943757,In Stock,34,Inactive
D,3690,,,4,Inactive
